folder,fold,top_left_long,top_left_lat,bottom_right_long,bottom_right_lat,activation_date,downloaded_date
EMSR214_05LELAVANDOU_02GRADING_MAP_v1_vector,purple,6.104806205,43.342188,6.45222345,43.06539283,24/07/2017,2017-07-29
EMSR207_04AVELAR_02GRADING_MAP_v2_vector,coral,-8.499468069,40.02611667,-8.30737403,39.90466208,17/06/2017,2017-07-04
EMSR207_08CERNACHEDOBONJARDIM_02GRADING_MAP_v2_vector,coral,-8.307666772000001,39.90466208,-8.116086631,39.7835143,17/06/2017,2017-07-04
EMSR209_01MOGUER_02GRADING_MAP_v2_vector,pink,-6.8476395760000015,37.29196604,-6.702477285,37.16677518,24/06/2017,2017-07-01
EMSR298_02HAMMARSTRAND_02GRADING_MAP_v1_vector,grey,16.361547,63.140440500000004,16.4473814,63.09967388,16/07/2018,2018-07-24
EMSR250_04CORTES_02GRADING_MAP_v2_vector,coral,-8.542607559,42.19890510000001,-8.271695929,41.98116658,15/10/2017,2017-10-22
EMSR214_04MARSEILLE_02GRADING_MAP_v1_vector,purple,5.180267429,43.45874415,5.512509636,43.19699627,24/07/2017,2017-07-29
EMSR227_01ENCINEDO_02GRADING_MAP_v2_vector,cyan,-6.670423382,42.33247404,-6.5434288679999995,42.25369489,22/08/2017,2017-09-02
EMSR207_10ORVALHO_02GRADING_MAP_v2_vector,coral,-7.844417854,40.05787932,-7.648726839,39.93498424,17/06/2017,2017-07-04
EMSR213_01VESUVIO_02GRADING_MAP_v2_vector,lime,14.36581091,40.8514438,14.47203367,40.76435711,11/07/2017,2017-07-17
EMSR254_02SILVAN_02GRADING_MAP_v2_vector,cyan,-6.7170000000000005,42.379,-6.5760000000000005,42.292,15/10/2017,2017-10-22
EMSR290_03MANSBO_02GRADING_MAP_v1_vector,grey,16.26041886,59.8533429,16.32135939,59.82821865,03/06/2018,2018-06-09
EMSR298_06GROTINGEN_02GRADING_MAP_v1_vector,grey,15.35710389,62.91509929,15.57401521,62.83394381,16/07/2018,2018-07-24
EMSR213_07SANVITOLOCAPO_02GRADING_MAP_v2_vector,lime,12.65226684,38.184588,12.9076817,37.96682291,11/07/2017,2017-07-17
EMSR250_01MARINHAGRANDE_02GRADING_MAP_v2_vector,coral,-9.163435178,40.03673571,-8.705635612,39.63675546,15/10/2017,2017-10-17
EMSR209_04CHOZASDELAPOLEOSA_02GRADING_MAP_v1_vector,pink,-6.7024649510000005,37.13648175,-6.557532514,37.0112319,24/06/2017,2017-07-01
